capital,country
Abidjan,Ivory Coast
Yamoussoukro,Ivory Coast
Abu Dhabi,United Arab Emirates
Abuja,Nigeria
Accra,Ghana
Adamstown,Pitcairn Islands
Addis Ababa,Ethiopia
Aden,Yemen
Sana'a,Yemen
Algiers,Algeria
Alofi,Niue
Amman,Jordan
Amsterdam,Netherlands
The Hague,Netherlands
Andorra la Vella,Andorra
Ankara,Turkey
Antananarivo,Madagascar
Apia,Samoa
Ashgabat,Turkmenistan
Asmara,Eritrea
Asunción,Paraguay
Athens,Greece
Avarua,Cook Islands
Baghdad,Iraq
Baku,Azerbaijan
Bamako,Mali
Bandar Seri Begawan,Brunei
Bangkok,Thailand
Bangui,Central African Republic
Banjul,The Gambia
Basseterre,Saint Kitts and Nevis
Beijing,China
Beirut,Lebanon
Belgrade,Serbia
Belmopan,Belize
Berlin,Germany
Bern,Switzerland
Bishkek,Kyrgyzstan
Bissau,Guinea-Bissau
Bloemfontein,South Africa
Cape Town,South Africa
Pretoria,South Africa
Bogotá,Colombia
Brades,Montserrat
Plymouth,Montserrat
Brasília,Brazil
Bratislava,Slovakia
Brazzaville,Congo
Bridgetown,Barbados
Brussels,Belgium
Bucharest,Romania
Budapest,Hungary
Buenos Aires,Argentina
Cairo,Egypt
Canberra,Australia
Caracas,Venezuela
Castries,Saint Lucia
Cetinje,Montenegro
Podgorica,Montenegro
Charlotte Amalie,United States Virgin Islands
Chișinău,Moldova
Cockburn Town,Turks and Caicos Islands
Colombo,Sri Lanka
Sri Jayawardenepura Kotte,Sri Lanka
Conakry,Guinea
Copenhagen,Denmark
Porto-Novo,Benin
Dakar,Senegal
Damascus,Syria
Dar es Salaam,Tanzania
Dodoma,Tanzania
Dhaka,Bangladesh
Dili,East Timor
Djibouti,Djibouti
Doha,Qatar
Douglas,Isle of Man
Dublin,Ireland
Dushanbe,Tajikistan
El Aaiún,Western Sahara
Tifariti,Western Sahara
Flying Fish Cove,Christmas Island
Freetown,Sierra Leone
Funafuti,Tuvalu
Gaborone,Botswana
George Town,Cayman Islands
Georgetown,Ascension Island
Georgetown,Guyana
Gibraltar,Gibraltar
Gitega,Burundi
Bujumbura,Burundi
Guatemala City,Guatemala
Gustavia,Saint Barthélemy
Hagåtña,Guam
Hamilton,Bermuda
Hanoi,Vietnam
Harare,Zimbabwe
Hargeisa,Somaliland
Havana,Cuba
Helsinki,Finland
Honiara,Solomon Islands
Islamabad,Pakistan
Jakarta,Indonesia
Jamestown,Saint Helena
Jerusalem,Israel
Jerusalem,Palestine
Ramallah,Palestine
Juba,South Sudan
Kabul,Afghanistan
Kampala,Uganda
Kathmandu,Nepal
Khartoum,Sudan
Kigali,Rwanda
